,count,pct
goods_movement_status,52113,100.0
requested_delivery_date_schedule,52097,100.0
total_confirmed_quantity,52097,100.0
total_requested_quantity,52097,100.0
billing_status,51627,99.1
storage_location,45798,87.9
backorder_aging_bucket,34986,67.1
backorder_aging_days,34986,67.1
total_billed_value,21384,41.0
total_billed_quantity,21384,41.0
total_quantity_delivered,19161,36.8
total_delivery_quantity,19161,36.8
product_hierarchy,11748,22.5
material_description_text,9125,17.5
net_value,5429,10.4
order_header_net_value,4882,9.4
distribution_channel,4682,9.0
cumulative_confirmed_quantity,4423,8.5
cumulative_order_quantity,3452,6.6
delivery_status,3158,6.1
country_code,1523,2.9
customer_name,1504,2.9
material_description,1312,2.5
material_type,1311,2.5
plant_code,663,1.3
requested_delivery_date,432,0.8
material_number,345,0.7
sales_unit,321,0.6
customer_number,110,0.2
sales_organization,87,0.2
effective_shipment_date,83,0.2
order_date,83,0.2
item_category,81,0.2
